compound_id	compound_name	category
+-5-oxo-1-2-campholide	(1R,4R)-5-oxo-1,2-campholide	Others
+-bornyl-diphosphate	(+)-bornyl-diphosphate	Terpenoids
+-bornyl-diphosphate	(+)-bornyl-diphosphate	Polyisoprenoids
+-epi-beta-santalene	(+)-epi-&beta;-santalene	Terpenoids
+-epi-beta-santalene	(+)-epi-&beta;-santalene	Polyisoprenoids
--5-oxo-1-2-campholide	(1S,4S)-5-oxo-1,2-campholide	Others
--6-HYDROXY-3-OXO-ALPHA-IONOL	(6S,9R)-vomifoliol	Others
--6-HYDROXY-3-OXO-ALPHA-IONONE	(6R)-dehydrovomifoliol	Others
--ABIETADIENE	abieta-7,13-diene	Terpenoids
--ABIETADIENE	abieta-7,13-diene	Polyisoprenoids
--CAMPHOR	(S)-camphor	LONG-CHAIN-KETONE
--MENTHOL	(-)-menthol	Terpenoids
--MENTHOL	(-)-menthol	Primary-Alcohols
--MENTHOL	(-)-menthol	Polyisoprenoids
--TRANS-ACENAPHTHENE-12-DIOL	(+/-)-trans-acenaphthene-1,2-diol	Others
--beta-santalene	(-)-&beta;-santalene	Terpenoids
--beta-santalene	(-)-&beta;-santalene	Polyisoprenoids
--bornyl-diphosphate	(-)-bornyl-diphosphate	Terpenoids
--bornyl-diphosphate	(-)-bornyl-diphosphate	Polyisoprenoids
--epi-beta-santalene	(-)-epi-&beta;-santalene	Terpenoids
--epi-beta-santalene	(-)-epi-&beta;-santalene	Polyisoprenoids
-CIS-SABINOL	(+)-cis-sabinol	Others
-SABINONE	(+)-sabinone	Others
0-Series-Ganglioside	a 0-series ganglioside	Carbohydrates
0-Series-Ganglioside	a 0-series ganglioside	Glycolipids
0-Series-Ganglioside	a 0-series ganglioside	SPHINGOLIPIDS
1-183-2-183-SN-GLYCEROL-PHOSPHOCHOLINE	1-&alpha;-linolenoyl-2-&alpha;-linolenoyl-phosphatidylcholine	Glycerolipids
1-183-2-183-SN-GLYCEROL-PHOSPHOCHOLINE	1-&alpha;-linolenoyl-2-&alpha;-linolenoyl-phosphatidylcholine	Phospholipids
1-2-Beta-D-Glucans	a 1,2-&beta;-D-glucan	Carbohydrates
1-2-DIPALMITOYLPHOSPHATIDYLCHOLINE	1,2-dipalmitoyl-sn-glycero-3-phosphocholine	Glycerolipids
1-2-DIPALMITOYLPHOSPHATIDYLCHOLINE	1,2-dipalmitoyl-sn-glycero-3-phosphocholine	Phospholipids
1-2-Dialkylglycerols	a 1,2-dialkylglycerol	Ethers
1-2-Dialkylglycerols	a 1,2-dialkylglycerol	Ether-Lipids
1-2-Diglycerides	a 1,2-diglyceride	Glycerides
1-2-Diglycerides	a 1,2-diglyceride	Glycerolipids
1-2-Mannan	a (1&rarr;2)-&beta;-D-mannan oligosaccharide	Carbohydrates
1-2DHFLUORENE	1,2-dihydroxyfluorene	Others
1-3-7-TRIMETHYLXANTHINE	caffeine	Others
1-3-D-xylooligosaccharides	a (1->3)-&beta;-D-xylan oligosaccharide	Carbohydrates
1-3-Diglycerides	a 1,3-diglyceride	Glycerides
1-3-Diglycerides	a 1,3-diglyceride	Glycerolipids
1-3-Fucan	a fucan with &alpha;-(1&rarr;3) bonds	Carbohydrates
1-3-alpha-D-Glucans	a 1,3-&alpha;-D-glucan	Carbohydrates
1-3-beta-D-Glucans	a 1,3-&beta;-D-glucan	Carbohydrates
1-3-or-4-Fucan	a fucan with alternating &alpha;-(1&rarr;3) and &alpha;-(1&rarr;4) bonds	Carbohydrates
1-34-DIMETHYLPHENYLETHANE-12-DIOL	1-(3,4-dimethylphenyl)ethane-1,2-diol	Others
1-4-D-xylooligosaccharides	a (1->4)-&beta;-D-xylan oligosaccharide	Carbohydrates
1-4-Fucan	a fucan with &alpha;-(1&rarr;4) bonds	Carbohydrates
1-4-HYDROXYPHENYL-2-METHYLAMINOETHAN	(R)-synephrine	Others
1-4-Mannan	a &beta;-(1,4)-D-mannan	Carbohydrates
1-4-alpha-D-Glucan	a (1&rarr;4)-&alpha;-D-glucan	Carbohydrates
1-4-alpha-D-galacturonosyl	a homogalacturonan	Carbohydrates
1-4-beta-D-Glucan	a 1,4-&beta;-D-glucan	Carbohydrates
1-4-beta-Xylan	a (1&rarr;4)-&beta;-D-xylan	Carbohydrates
1-5-Galactofuran	a galactofuran ending with a galactofuranosyl (1->5) linkage	Carbohydrates
1-5-L-Arabinooligosaccharides	an &alpha;(1,5)-L-arabinan	Carbohydrates
1-5-PHOSPHORIBOSYLIMIDAZOLE-4-ACETATE	1-(5-phosphoribosyl)imidazole-4-acetate	Others
1-6-Galactofuran	a galactofuran ending with a galactofuranosyl (1->6) linkage	Carbohydrates
1-6-alpha-D-glucan	a (1&rarr;6)-&alpha;-D-glucan	Carbohydrates
1-6-anhydro-MurNAc-pentapeptide	1,6-anhydro-MurNAc-pentapeptide	Carbohydrates
1-6-anhydro-MurNAc-tetrapeptide	1,6-anhydro-MurNAc-tetrapeptide	Carbohydrates
1-6-beta-D-Glucan	a 1,6-&beta;-D-glucan	Carbohydrates
1-7-DIMETHYLXANTHINE	paraxanthine	Others
1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC	a 1-acyl-2-linoleoyl-sn-glycero-3-phosphocholine	Organic-Acids
1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC	a 1-acyl-2-linoleoyl-sn-glycero-3-phosphocholine	Glycerolipids
1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC	a 1-acyl-2-linoleoyl-sn-glycero-3-phosphocholine	Phospholipids
1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL	a 1-acyl-2-oleoyl-sn-glycero-3-phosphocholine	Glycerolipids
1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL	a 1-acyl-2-oleoyl-sn-glycero-3-phosphocholine	Phospholipids
1-ALKENYL-2-ACYLGLYCEROL	a 2-acyl-1-Z-alk-1-enyl-sn-glycerol	Ethers
1-ALKENYL-2-ACYLGLYCEROL	a 2-acyl-1-Z-alk-1-enyl-sn-glycerol	Ether-Lipids
1-ALKENYL-2-ACYLGLYCEROL	a 2-acyl-1-Z-alk-1-enyl-sn-glycerol	Phospholipids
1-ALKYL-2-ARACHIDONYL-SN-GLYCERO-3-PCHOL	1-alkyl-2-arachidonyl-sn-glycero-3-phosphocholine	Others
1-ALKYL-2-ARACHIDONYL-SN-GLYCERO-3-PETH	1-alkyl-2-arachidonyl-sn-glycero-3-phosphoethanolamine	Others
1-ALKYL-GLYCERONE-3-PHOSPHATE	a 1-alkyl-glycerone 3-phosphate	Ethers
1-ALKYL-GLYCERONE-3-PHOSPHATE	a 1-alkyl-glycerone 3-phosphate	Ether-Lipids
1-ALKYL-GLYCERONE-3-PHOSPHATE	a 1-alkyl-glycerone 3-phosphate	Phospholipids
1-ALKYL-SN-GLYCEROL	1-O-alkyl-sn-glycerol	Ethers
1-AMINO-PROPAN-2-OL	(R)-1-aminopropan-2-ol	Others
1-AMINO-PROPAN-2-ONE-3-PHOSPHATE	3-amino-1-hydroxyacetone 1-phosphate	Others
1-Acyl-2-Arachidonoyl-Glycerol-P	a 1-acyl-2-arachidonoyl-sn-glycerol 3-phosphate	Glycerolipids
1-Acyl-2-Arachidonoyl-Glycerol-P	a 1-acyl-2-arachidonoyl-sn-glycerol 3-phosphate	Phospholipids
1-Acyl-2-Arachidonoyl-Glycerols	an 1-acyl-2-arachidonoyl-sn-glycerol	Glycerides
1-Acyl-2-Arachidonoyl-Glycerols	an 1-acyl-2-arachidonoyl-sn-glycerol	Glycerolipids
1-Acyl-2-Arachidonoyl-PI-4P	a 1-acyl-2-arachidonoyl-phosphatidylinositol 4-phosphate	Glycerolipids
1-Acyl-2-Arachidonoyl-PI-4P	a 1-acyl-2-arachidonoyl-phosphatidylinositol 4-phosphate	Cyclic-Alcohols
1-Acyl-2-Arachidonoyl-PI-4P	a 1-acyl-2-arachidonoyl-phosphatidylinositol 4-phosphate	Phospholipids
1-Acyl-2-Arachindonoyl-PIs	a 1-acyl-2-arachidonoyl-phosphatidylinositol	Glycerolipids
1-Acyl-2-Arachindonoyl-PIs	a 1-acyl-2-arachidonoyl-phosphatidylinositol	Cyclic-Alcohols
