pathway_id	pathway_name	category
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	CHLORINATED-COMPOUNDS-DEG
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation	AROMATIC-COMPOUNDS-DEGRADATION
1CMET2-PWY	folate transformations III (E. coli)	Cofactor-Biosynthesis
2AMINOBENZDEG-PWY	anthranilate degradation III (anaerobic)	AROMATIC-COMPOUNDS-DEGRADATION
2ASDEG-PWY	orthanilate degradation	AROMATIC-COMPOUNDS-DEGRADATION
2OXOBUTYRATECAT-PWY	2-oxobutanoate degradation II	CARBOXYLATES-DEG
2PHENDEG-PWY	phenylethylamine degradation I	AMINE-DEG
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	AROMATIC-COMPOUNDS-DEGRADATION
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation	AROMATIC-COMPOUNDS-DEGRADATION
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation	AMINE-DEG
4TOLCARBDEG-PWY	4-toluenecarboxylate degradation	AROMATIC-COMPOUNDS-DEGRADATION
6-HYDROXYCINEOLE-DEGRADATION-PWY	1,8-cineole degradation	SECONDARY-METABOLITE-DEGRADATION
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	CARBOXYLATES-DEG
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)	Other-Degradation
ADENOSYLHOMOCYSCAT-PWY	L-methionine salvage from L-homocysteine	Amino-Acid-Biosynthesis
AEROBACTINSYN-PWY	aerobactin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
ALACAT2-PWY	L-alanine degradation II (to D-lactate)	Amino-Acid-Degradation
ALADEG-PWY	L-alanine degradation I	Amino-Acid-Degradation
ALANINE-DEG3-PWY	L-alanine degradation III	Amino-Acid-Degradation
ALANINE-SYN2-PWY	L-alanine biosynthesis II	Amino-Acid-Biosynthesis
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	Amino-Acid-Biosynthesis
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase	Noncarbon-Nutrients
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	Others
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	AMINE-DEG
AMMASSIM-PWY	ammonia assimilation cycle III	Noncarbon-Nutrients
AMMOXID-PWY	ammonia oxidation I (aerobic)	Noncarbon-Nutrients
AMMOXID-PWY	ammonia oxidation I (aerobic)	CHEMOAUTOTROPHIC-ENERGY-METABOLISM
ANAEROFRUCAT-PWY	homolactic fermentation	Fermentation
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	GLYCOLYSIS-VARIANTS
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)	Amino-Acid-Degradation
ARABCAT-PWY	L-arabinose degradation I	Carbohydrates-Degradation
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	Polyamine-Biosynthesis
ARG-GLU-PWY	L-arginine degradation VII (arginase 3 pathway)	Amino-Acid-Degradation
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	Amino-Acid-Degradation
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	Amino-Acid-Biosynthesis
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	Amino-Acid-Degradation
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	Amino-Acid-Degradation
ARGDEG-IV-PWY	L-arginine degradation VIII (arginine oxidase pathway)	Amino-Acid-Degradation
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	Amino-Acid-Degradation
ARGDEG-V-PWY	L-arginine degradation X (arginine monooxygenase pathway)	Amino-Acid-Degradation
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)	Amino-Acid-Degradation
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	Amino-Acid-Biosynthesis
ARGSPECAT-PWY	spermine biosynthesis	Polyamine-Biosynthesis
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	Amino-Acid-Biosynthesis
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	Amino-Acid-Biosynthesis
ARO-PWY	chorismate biosynthesis I	AROMATIC-COMPOUNDS-BIOSYN
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	Amino-Acid-Biosynthesis
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	Amino-Acid-Degradation
ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)	Amino-Acid-Degradation
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	Amino-Acid-Biosynthesis
ASPARTATE-DEG1-PWY	L-aspartate degradation I	Amino-Acid-Degradation
ASPARTATESYN-PWY	L-aspartate biosynthesis	Amino-Acid-Biosynthesis
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	Amino-Acid-Biosynthesis
ASPSYNII-PWY	cyanide detoxification I	Cyanide-Detoxification
AST-PWY	L-arginine degradation II (AST pathway)	Amino-Acid-Degradation
BENZCOA-PWY	anaerobic aromatic compound degradation (Thauera aromatica)	AROMATIC-COMPOUNDS-DEGRADATION
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I	Amino-Acid-Degradation
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)	Polyamine-Biosynthesis
BGALACT-PWY	lactose degradation III	Carbohydrates-Degradation
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	Cofactor-Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	Amino-Acid-Biosynthesis
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	Polyamine-Biosynthesis
CALVIN-PWY	Calvin-Benson-Bassham cycle	C1-COMPOUNDS
CALVIN-PWY	Calvin-Benson-Bassham cycle	Carbohydrates-Biosynthesis
CAMALEXIN-SYN	camalexin biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
CARNMET-PWY	L-carnitine degradation I	AMINE-DEG
CARNMET-PWY	L-carnitine degradation I	Respiration
CAROTENOID-PWY	superpathway of carotenoid biosynthesis in plants	SECONDARY-METABOLITE-BIOSYNTHESIS
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	AROMATIC-COMPOUNDS-DEGRADATION
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	AROMATIC-COMPOUNDS-DEGRADATION
CENTFERM-PWY	pyruvate fermentation to butanoate	Fermentation
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	Tetrapyrrole-Biosynthesis
CHOLINE-BETAINE-ANA-PWY	choline degradation I	AMINE-DEG
CITRULBIO-PWY	L-citrulline biosynthesis	Amino-Acid-Biosynthesis
CITRULLINE-DEG-PWY	L-citrulline degradation	Amino-Acid-Degradation
CO2FORM-PWY	methanogenesis from methanol	C1-COMPOUNDS
CO2FORM-PWY	methanogenesis from methanol	Respiration
COA-PWY	coenzyme A biosynthesis I (bacteria)	Cofactor-Biosynthesis
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	Cofactor-Biosynthesis
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	Cofactor-Biosynthesis
CODH-PWY	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	C1-COMPOUNDS
COLANSYN-PWY	colanic acid building blocks biosynthesis	Carbohydrates-Biosynthesis
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	Amino-Acid-Biosynthesis
CRNFORCAT-PWY	creatinine degradation I	AMINE-DEG
CYANCAT-PWY	cyanate degradation	Noncarbon-Nutrients
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	Alcohol-Degradation
CYSTEINE-DEG-PWY	L-cysteine degradation I	Amino-Acid-Degradation
CYSTSYN-PWY	L-cysteine biosynthesis I	Amino-Acid-Biosynthesis
DAPLYSINESYN-PWY	L-lysine biosynthesis I	Amino-Acid-Biosynthesis
DARABCAT-PWY	D-arabinose degradation I	Carbohydrates-Degradation
DARABCATK12-PWY	D-arabinose degradation II	Carbohydrates-Degradation
DARABITOLUTIL-PWY	D-arabinitol degradation I	SECONDARY-METABOLITE-DEGRADATION
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	Noncarbon-Nutrients
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	Respiration
